pos,corr_resp,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate,,sequential rt,random rt,,,,
150,v,0,0,0,0,18,0,72,1,,,,,189.7182372,190.7183274,190.7183274,190.7183274,190.7183274,190.7183274,191.7177896,191.7177896,v,1,0.4759338,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,1.3249369,0.4759338,,,,
150,v,0,0,0,0,18,1,73,1,,,,,192.2181304,193.2178878,193.2178878,193.2178878,193.2178878,193.2178878,194.2176851,194.2176851,v,1,0.4173831,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,1.0223292,0.4173831,,,,
-50,x,0,0,0,0,18,2,74,0,,,,,194.6674888,195.6674666,195.6674666,195.6674666,195.6674666,195.6674666,196.6674134,196.6674134,x,1,0.4334505,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.538742,0.4334505,,,,
-150,z,0,0,0,0,18,3,75,3,,,,,197.117365,198.1172983,198.1172983,198.1172983,198.1172983,198.1172983,199.1169203,199.1169203,z,1,0.4167501,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.7103513,0.4167501,,,,
-150,z,0,0,0,0,19,0,76,3,,,,,199.5504606,200.5502131,200.5502131,200.5502131,200.5502131,200.5502131,201.55012,201.55012,z,1,0.3860615,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.8039839,0.3860615,,,,
50,c,0,0,0,0,19,1,77,2,,,,,201.9664978,202.9663934,202.9663934,202.9663934,202.9663934,202.9663934,203.9661727,203.9661727,c,1,0.5741479,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.7257396,0.5741479,,,,
150,v,0,0,0,0,19,2,78,1,,,,,204.5660817,205.5661555,205.5661555,205.5661555,205.5661555,205.5661555,206.5658361,206.5658361,v,1,0.3900754,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4537581,0.3900754,,,,
-50,x,0,0,0,0,19,3,79,0,,,,,206.9826631,207.982678,207.982678,207.982678,207.982678,207.982678,208.982389,208.982389,x,1,0.5593054,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2669311,0.5593054,,,,
-50,x,0,0,0,0,20,0,80,0,,,,,209.565868,210.5655931,210.5655931,210.5655931,210.5655931,210.5655931,211.5654487,211.5654487,x,1,0.4104156,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2971655,0.4104156,,,,
150,v,0,0,0,0,20,1,81,1,,,,,211.9988325,212.998608,212.998608,212.998608,212.998608,212.998608,213.9983853,213.9983853,v,1,0.4967739,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2525241,0.4967739,,,,
150,v,0,0,0,0,20,2,82,1,,,,,214.5147052,215.5149398,215.5149398,215.5149398,215.5149398,215.5149398,216.5147006,216.5147006,v,1,0.4151977,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2658193,0.4151977,,,,
50,c,0,0,0,0,20,3,83,2,,,,,216.9483263,217.94777,217.94777,217.94777,217.94777,217.94777,218.9479095,218.9479095,c,1,0.6472001,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3753006,0.6472001,,,,
